Source,Target,ConversionRate
0,5115,0.111885
0,1362,0.111802
0,1958,0.111761
0,4254,0.11172
0,63,0.111555
0,4066,0.110649
0,632,0.110566
0,2446,0.110072
0,5020,0.10999
1,4402,1.0
2,3913,1.0
3,3473,0.169252
3,5624,0.167584
3,5480,0.166917
3,5046,0.165666
3,4987,0.165416
3,4988,0.165166
4,751,0.131236
4,2021,0.12861
4,2570,0.125676
4,4528,0.125367
4,4524,0.124131
4,5070,0.123668
4,4988,0.123514
4,4794,0.117799
5,73,0.010142
5,3680,0.010063
5,102,0.01003
5,2427,0.009602
5,1072,0.009444
5,1219,0.008994
5,1846,0.005077
5,3989,0.005077
5,3960,0.005077
5,5256,0.005077
5,5228,0.005065
5,3558,0.005065
5,965,0.005065
5,4554,0.005065
5,3968,0.005065
5,4583,0.005065
5,1153,0.005065
5,2896,0.005065
5,2675,0.005065
5,1492,0.005065
5,1712,0.005065
5,3715,0.005065
5,2685,0.005065
5,1245,0.005065
5,668,0.005065
5,336,0.005065
5,592,0.005065
5,1965,0.005054
5,3200,0.005054
5,1247,0.005054
5,1883,0.005054
5,4387,0.005054
5,3612,0.005054
5,2141,0.005054
5,1442,0.005054
5,1495,0.005054
5,1045,0.005054
5,634,0.005054
5,3774,0.005054
5,2605,0.005054
5,1928,0.005043
5,2963,0.005043
5,4330,0.005043
5,2150,0.005043
5,3262,0.005043
5,108,0.005043
5,4486,0.005043
5,3145,0.005043
5,2832,0.005043
5,4690,0.005043
5,2228,0.005043
5,3974,0.005043
5,5200,0.005043
5,79,0.005043
5,2656,0.005043
5,3732,0.005043
5,1085,0.005043
5,4495,0.005043
5,4256,0.005043
5,2716,0.005043
5,1996,0.005043
5,671,0.005032
5,2886,0.005032
5,4354,0.005032
5,2512,0.005032
5,2382,0.005032
5,65,0.005032
5,2808,0.005032
5,5283,0.005032
5,912,0.005032
5,3996,0.005032
5,2263,0.005032
5,5341,0.005032
5,5397,0.005032
5,5738,0.005032
5,4440,0.005032
5,347,0.005032
5,3068,0.00502
5,4316,0.00502
5,3708,0.00502
5,4128,0.00502
5,2205,0.00502
5,3462,0.00502
5,1543,0.00502
5,4260,0.00502
5,3170,0.00502
5,97,0.00502
5,2308,0.00502
5,5209,0.005009
5,2981,0.005009
5,5142,0.005009
5,3599,0.005009
5,3627,0.005009
5,847,0.005009
5,1820,0.005009
5,2227,0.005009
5,4981,0.004998
5,5080,0.004998
5,3679,0.004998
5,455,0.004998
5,751,0.004998
5,831,0.004987
5,3071,0.004987
5,932,0.004987
5,2275,0.004987
5,2889,0.004987
5,1763,0.004987
5,2601,0.004987
5,1819,0.004987
5,3253,0.004987
5,7,0.004975
5,786,0.004975
5,2995,0.004975
5,3295,0.004975
5,1837,0.004975
5,2200,0.004975
5,343,0.004975
5,2207,0.004975
5,5746,0.004975
5,2042,0.004964
5,3893,0.004964
5,405,0.004964
5,541,0.004964
5,3282,0.004964
5,1014,0.004964
5,4300,0.004953
5,1591,0.004953
5,3685,0.004953
5,1927,0.004942
5,2429,0.004942
5,56,0.004942
5,1531,0.004942
5,353,0.004942
5,4798,0.00493
5,651,0.00493
5,5532,0.00493
5,1902,0.00493
5,3319,0.00493
5,1077,0.004919
5,2019,0.004919
5,1710,0.004919
5,2020,0.004919
5,4851,0.004919
5,1161,0.004919
5,2343,0.004908
5,5146,0.004908
5,2559,0.004897
5,4160,0.004885
5,1746,0.004874
5,2201,0.004874
5,91,0.004874
5,1932,0.004863
5,1844,0.004863
5,1901,0.004863
5,2686,0.004852
5,3495,0.004852
5,5774,0.00484
5,5667,0.00484
5,86,0.00484
5,4610,0.004829
5,571,0.004818
5,898,0.004818
5,2389,0.004818
5,214,0.004818
5,2021,0.004807
5,1060,0.004795
5,3597,0.004795
5,2430,0.004773
5,1447,0.004773
5,1725,0.004773
5,5121,0.004728
5,5111,0.004728
5,4072,0.004705
5,5635,0.004694
5,3352,0.004694
5,380,0.004683
5,3947,0.004683
5,5591,0.004683
5,5501,0.004672
5,1097,0.004672
5,2161,0.004672
5,5530,0.004649
5,2365,0.004638
5,5412,0.004638
5,5176,0.004615
5,4525,0.004615
5,2570,0.004593
5,5180,0.004593
5,5020,0.004548
5,4994,0.004525
5,4301,0.004525
5,3704,0.004503
5,4996,0.004503
5,1110,0.004447
5,5177,0.004424
5,723,0.00439
5,3329,0.004064
6,2447,1.0
7,3535,0.017474
7,656,0.017474
7,5256,0.017474
7,2338,0.017451
7,2751,0.017451
7,944,0.017427
7,1687,0.017427
7,157,0.017427
7,3388,0.017427
7,3144,0.017427
7,3272,0.017427
7,2007,0.017427
7,1442,0.017427
7,3916,0.017403
7,1510,0.017403
7,908,0.017403
7,1384,0.017403
7,3279,0.017403
7,1996,0.017403
7,4168,0.017403
7,4256,0.017403
7,2716,0.017403
7,1362,0.017403
7,1085,0.017403
7,2808,0.01738
7,192,0.01738
7,3190,0.01738
7,2003,0.01738
7,2110,0.017356
7,3967,0.017356
7,2426,0.017356
7,1217,0.017333
7,1768,0.017333
7,642,0.017333
7,2244,0.017333
7,3665,0.017309
7,2811,0.017309
7,3679,0.017309
7,1738,0.017262
7,4676,0.017238
7,1897,0.017238
7,4303,0.017191
7,987,0.017191
7,2386,0.017191
7,127,0.017144
7,5510,0.017144
7,2363,0.017144
7,2343,0.01712
7,5,0.017096
7,4160,0.017073
7,244,0.017049
7,2102,0.016955
7,2807,0.016931
7,2708,0.016718
7,4854,0.016577
7,2105,0.016529
7,3877,0.016364
7,1985,0.015821
8,1373,0.052824
8,2009,0.052785
8,5026,0.052772
8,5355,0.052759
8,3780,0.052759
8,1452,0.052759
8,4396,0.052733
8,2542,0.05272
8,4623,0.05272
8,3261,0.052707
8,343,0.052694
8,1619,0.052694
8,25,0.052668
8,3709,0.052617
8,2653,0.052617
8,3706,0.052591
8,2298,0.052565
8,2137,0.052552
8,4155,0.051464
9,4876,0.023548
9,2497,0.023548
9,3058,0.023548
9,40,0.023548
9,2322,0.023525
9,1182,0.023502
9,2605,0.023502
9,3428,0.023502
9,4288,0.023502
9,769,0.023502
9,4372,0.023479
9,1964,0.023479
9,5713,0.023479
9,2848,0.023479
9,5043,0.023456
9,2474,0.023456
9,124,0.023432
9,3007,0.023432
9,1773,0.023409
9,697,0.023409
9,1770,0.023409
9,1260,0.023409
9,3424,0.023409
9,4482,0.023386
9,3882,0.02334
9,901,0.02334
9,239,0.023294
9,25,0.023294
9,353,0.02327
9,2533,0.02327
9,5522,0.023224
9,4595,0.023224
9,244,0.023132
9,647,0.023132
9,560,0.023085
9,2137,0.023085
9,1218,0.023062
9,791,0.023039
9,1060,0.02297
9,5708,0.022831
9,5336,0.022669
9,3877,0.02246
9,3147,0.020933
10,624,1.0
11,2888,0.0209
11,1139,0.020874
11,111,0.020874
11,3946,0.020848
11,1813,0.020848
11,136,0.020823
11,811,0.020797
11,603,0.020797
11,2735,0.020771
11,2905,0.020771
11,1324,0.020746
11,3866,0.020746
11,3912,0.020694
11,2769,0.020694
11,1448,0.020694
11,1922,0.020694
11,4498,0.020668
11,2419,0.020643
11,1278,0.020643
11,1624,0.020643
11,5503,0.020643
11,88,0.020617
11,1828,0.020617
11,2755,0.020617
11,12,0.020591
11,2341,0.02054
11,3729,0.02054
11,1934,0.020488
11,1376,0.020463
11,1628,0.020411
11,4610,0.02036
11,2580,0.02036
11,996,0.020309
11,249,0.020309
11,3292,0.020283
11,4703,0.020283
11,928,0.020206
11,1235,0.020206
11,4039,0.02018
11,5556,0.020154
11,2334,0.020154
11,4067,0.019974
11,4278,0.019949
11,5412,0.019923
11,301,0.019768
11,2709,0.019691
11,4650,0.019588
11,1985,0.019126
11,3361,0.018483
12,3007,0.128111
12,5008,0.127637
12,4610,0.126097
12,1235,0.125385
12,4036,0.124555
12,2368,0.12337
12,3749,0.122422
12,3355,0.122422
13,77,0.017973
13,514,0.017973
13,2683,0.017973
13,4469,0.017962
13,1269,0.017951
13,397,0.017951
13,3172,0.017951
13,1340,0.017951
13,841,0.017951
13,816,0.017951
13,1323,0.017951
13,1640,0.017951
13,2517,0.017951
13,1284,0.01794
13,5468,0.01794
13,429,0.01794
13,4284,0.01794
13,5022,0.01794
13,2565,0.01794
13,1969,0.017929
13,217,0.017929
13,973,0.017918
13,47,0.017918
13,2700,0.017918
13,3363,0.017918
13,1303,0.017918
13,1044,0.017918
13,1208,0.017918
13,2516,0.017918
13,319,0.017918
13,100,0.017907
13,1895,0.017907
13,2849,0.017907
13,1810,0.017896
13,2134,0.017896
